evaluateur;question;slot;systeme
01;Q05;A;openai_noRAG
01;Q05;B;mistral_RAG
01;Q05;C;mistral_noRAG
01;Q04;A;openai_noRAG
01;Q04;B;mistral_noRAG
01;Q04;C;mistral_RAG
01;Q01;A;mistral_RAG
01;Q01;B;openai_noRAG
01;Q01;C;mistral_noRAG
01;Q02;A;mistral_RAG
01;Q02;B;mistral_noRAG
01;Q02;C;openai_noRAG
01;Q03;A;mistral_noRAG
01;Q03;B;openai_noRAG
01;Q03;C;mistral_RAG
02;Q03;A;openai_noRAG
02;Q03;B;mistral_noRAG
02;Q03;C;mistral_RAG
02;Q05;A;mistral_RAG
02;Q05;B;openai_noRAG
02;Q05;C;mistral_noRAG
02;Q04;A;mistral_RAG
02;Q04;B;mistral_noRAG
02;Q04;C;openai_noRAG
02;Q02;A;mistral_noRAG
02;Q02;B;openai_noRAG
02;Q02;C;mistral_RAG
02;Q01;A;mistral_noRAG
02;Q01;B;mistral_RAG
02;Q01;C;openai_noRAG
03;Q01;A;mistral_RAG
03;Q01;B;openai_noRAG
03;Q01;C;mistral_noRAG
03;Q03;A;mistral_RAG
03;Q03;B;mistral_noRAG
03;Q03;C;openai_noRAG
03;Q02;A;mistral_noRAG
03;Q02;B;openai_noRAG
03;Q02;C;mistral_RAG
03;Q05;A;mistral_noRAG
03;Q05;B;mistral_RAG
03;Q05;C;openai_noRAG
03;Q04;A;openai_noRAG
03;Q04;B;mistral_RAG
03;Q04;C;mistral_noRAG
04;Q01;A;mistral_RAG
04;Q01;B;mistral_noRAG
04;Q01;C;openai_noRAG
04;Q03;A;mistral_noRAG
04;Q03;B;openai_noRAG
04;Q03;C;mistral_RAG
04;Q02;A;mistral_noRAG
04;Q02;B;mistral_RAG
04;Q02;C;openai_noRAG
04;Q04;A;openai_noRAG
04;Q04;B;mistral_RAG
04;Q04;C;mistral_noRAG
04;Q05;A;openai_noRAG
04;Q05;B;mistral_noRAG
04;Q05;C;mistral_RAG
05;Q02;A;mistral_noRAG
05;Q02;B;openai_noRAG
05;Q02;C;mistral_RAG
05;Q01;A;mistral_noRAG
05;Q01;B;mistral_RAG
05;Q01;C;openai_noRAG
05;Q05;A;openai_noRAG
05;Q05;B;mistral_RAG
05;Q05;C;mistral_noRAG
05;Q03;A;openai_noRAG
05;Q03;B;mistral_noRAG
05;Q03;C;mistral_RAG
05;Q04;A;mistral_RAG
05;Q04;B;openai_noRAG
05;Q04;C;mistral_noRAG
06;Q04;A;mistral_noRAG
06;Q04;B;mistral_RAG
06;Q04;C;openai_noRAG
06;Q02;A;openai_noRAG
06;Q02;B;mistral_RAG
06;Q02;C;mistral_noRAG
06;Q05;A;openai_noRAG
06;Q05;B;mistral_noRAG
06;Q05;C;mistral_RAG
06;Q03;A;mistral_RAG
06;Q03;B;openai_noRAG
06;Q03;C;mistral_noRAG
06;Q01;A;mistral_RAG
06;Q01;B;mistral_noRAG
06;Q01;C;openai_noRAG
07;Q01;A;openai_noRAG
07;Q01;B;mistral_RAG
07;Q01;C;mistral_noRAG
07;Q02;A;openai_noRAG
07;Q02;B;mistral_noRAG
07;Q02;C;mistral_RAG
07;Q04;A;mistral_RAG
07;Q04;B;openai_noRAG
07;Q04;C;mistral_noRAG
07;Q05;A;mistral_RAG
07;Q05;B;mistral_noRAG
07;Q05;C;openai_noRAG
07;Q03;A;mistral_noRAG
07;Q03;B;openai_noRAG
07;Q03;C;mistral_RAG
08;Q03;A;openai_noRAG
08;Q03;B;mistral_noRAG
08;Q03;C;mistral_RAG
08;Q01;A;mistral_RAG
08;Q01;B;openai_noRAG
08;Q01;C;mistral_noRAG
08;Q02;A;mistral_RAG
08;Q02;B;mistral_noRAG
08;Q02;C;openai_noRAG
08;Q04;A;mistral_noRAG
08;Q04;B;openai_noRAG
08;Q04;C;mistral_RAG
08;Q05;A;mistral_noRAG
08;Q05;B;mistral_RAG
08;Q05;C;openai_noRAG
09;Q05;A;mistral_RAG
09;Q05;B;openai_noRAG
09;Q05;C;mistral_noRAG
09;Q01;A;mistral_RAG
09;Q01;B;mistral_noRAG
09;Q01;C;openai_noRAG
09;Q03;A;mistral_noRAG
09;Q03;B;openai_noRAG
09;Q03;C;mistral_RAG
09;Q02;A;mistral_noRAG
09;Q02;B;mistral_RAG
09;Q02;C;openai_noRAG
09;Q04;A;openai_noRAG
09;Q04;B;mistral_RAG
09;Q04;C;mistral_noRAG
10;Q02;A;mistral_RAG
10;Q02;B;mistral_noRAG
10;Q02;C;openai_noRAG
10;Q03;A;mistral_noRAG
10;Q03;B;openai_noRAG
10;Q03;C;mistral_RAG
10;Q04;A;mistral_noRAG
10;Q04;B;mistral_RAG
10;Q04;C;openai_noRAG
10;Q05;A;openai_noRAG
10;Q05;B;mistral_RAG
10;Q05;C;mistral_noRAG
10;Q01;A;openai_noRAG
10;Q01;B;mistral_noRAG
10;Q01;C;mistral_RAG
